Model,Dataset,Accuracy,Precision,Recall,F1
Mesonet,Validation,0.7009391191709845,0.8051307350764677,0.5291828793774319,0.638622578751712
Mesonet,Test,0.6192129629629629,0.6840052015604682,0.4141732283464567,0.5159391858754291
Mesonet,Validation,0.7066062176165803,0.7976958525345622,0.5576675257731959,0.6564277588168373
Mesonet,Test,0.5945216049382716,0.6878216123499142,0.315748031496063,0.43281165677280087
Mesonet,Validation,0.7326748704663213,0.8029978586723768,0.6115459882583171,0.6943158674319571
Mesonet,Test,0.5520833333333334,0.6146245059288538,0.24353954581049334,0.3488502523836231
Mesonet,Validation,0.6887175324675324,0.7722543352601156,0.5395799676898223,0.635282929148835
Mesonet,Test,0.6171875,0.7450331125827815,0.4166666666666667,0.5344418052256532
CNN,Validation,0.7402597402597403,0.718475073313783,0.7928802588996764,0.7538461538461538
CNN,Test,0.67578125,0.6755218216318786,0.688588007736944,0.6819923371647509
CNN,Validation,0.7012987012987013,0.7464940668824164,0.5800502933780386,0.6528301886792452
CNN,Test,0.6875,0.7771260997067448,0.5206286836935167,0.6235294117647059
SVM,Validation,0.604301948051948,0.603672532517215,0.6332263242375602,0.618096357226792
SVM,Test,0.6103515625,0.6028622540250447,0.6556420233463035,0.6281453867660765
SVM,Validation,0.6022727272727273,0.5940959409594095,0.6518218623481782,0.6216216216216216
SVM,Test,0.634765625,0.6220183486238532,0.6686390532544378,0.6444866920152091
Random Forest,Validation,0.6710526315789473,0.6808149405772496,0.6541598694942904,0.6672212978369384
Random Forest,Test,0.6640625,0.7329192546583851,0.4777327935222672,0.5784313725490197
Random Forest,Validation,0.6318993506493507,0.6533333333333333,0.5581773799837266,0.6020184291355858
Random Forest,Test,0.6162109375,0.7049689440993789,0.43238095238095237,0.5360094451003542
Random Forest,Validation,0.6071428571428571,0.5834553440702782,0.6663879598662207,0.6221701795472288
Random Forest,Test,0.6494140625,0.6816037735849056,0.5633528265107213,0.6168623265741728
Random Forest,Validation,0.6854707792207793,0.6953376205787781,0.6859635210150674,0.6906187624750499
Random Forest,Test,0.681640625,0.7661971830985915,0.5281553398058253,0.6252873563218391
